caldt,b1ret,cpiret
19931231,0.041296,0.027484
19941230,0.023245,0.026749
19951229,0.083992,0.025384
19961231,0.055055,0.033225
19971231,0.062429,0.017025
19981231,0.061431,0.016119
19991231,0.043106,0.026848
20001229,0.069920,0.033869
20011231,0.074351,0.015517
20021231,0.034147,0.023769
20031231,0.014680,0.018794
20041231,0.006780,0.032557
20051230,0.022705,0.034156
20061229,0.041550,0.025408
20071231,0.059550,0.040814
20081231,0.046384,0.000915
20091231,0.005438,0.027213
20101231,0.005810,0.014957
20111230,0.003515,0.029621
20121231,0.001726,0.017411
20131231,0.003387,0.015018
20141231,0.002411,0.007566
20151231,0.001574,0.007295
20161230,0.007678,0.020746
